Field,Tier
title,Bronze
doiName,Gold
abstract,Bronze
keywords,Bronze
contactPoint,Bronze
description,Silver
populationSize,Bronze
identifier,Silver
name,Bronze
contactPoint,Bronze
description,Silver
description,Silver
associatedMedia,Silver
inPipeline,Silver
name,Silver
description,Gold
name,Gold
description,Gold
sensitive,Platinum
size,Gold
image,Gold
title,Silver
description,Gold
format,Gold
typicalAgeRangeMin,Silver
typicalAgeRangeMax,Silver
datasetCompleteness,Gold
syntheticDataWebLink,Platinum
publicationAboutDataset,Silver
publicationUsingDataset,Silver
observedNode,Gold
measuredValue,Gold
measuredProperty,Gold
ethnicity,Silver
bin,Silver
count,Silver
